corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,Wo,PWAV,wo,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,sind,VAFIN,sein,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,wir,PPER,wir,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,?,$.,--,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,dieser,PDAT,dieser,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,Ort,NN,ort,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,ist,VAFIN,sein,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,ja,ADV,ja,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,vortreflich,ADJD,vortreflich,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,schön,ADJD,schön,5904,,
qd,stst.0,10308,10371,UNWISSENHEIT,unwissenheit,.,$.,--,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,Ach,ITJ,ach,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,Schwester,NN,schwester,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,komm,ADJD,komm,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,zurück,ADV,zurück,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,/,CARD,--,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,du,PPER,du,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,darfst,ADV,darfst,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,nicht,PTKNEG,nicht,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,weiter,ADV,weiter,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,gehn,CARD,gehn,5904,,
qd,stst.0,10376,10451,SCHEINFRÖMMIGKEIT,scheinfrömmigkeit,"!",$.,--,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,Nein,PTKANT,nein,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,/,VMFIN,--,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,er,PPER,er,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,ist,VAFIN,sein,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,gar,ADV,gar,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,zu,PTKA,zu,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,gut,ADJD,gut,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,und,KON,und,5904,,
qd,stst.0,10456,10520,UNWISSENHEIT,unwissenheit,prächtig,ADJD,prächtig,5904,,
