corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Nun,ADV,nun,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,",","$,",--,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Degenspitze,NN,degenspitze,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,der,ART,der,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Gerechtigkeit,NN,gerechtigkeit,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,?,$.,--,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Denn,KON,denn,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,",","$,",--,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,daß,KOUS,daß,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,dus,PPER,dus,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,weißt,VVFIN,weißen,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,",","$,",--,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,mit,APPR,mit,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,einem,ART,ein,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Degen,NN,degen,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,wird,VAFIN,werden,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Die,ART,der,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,Themis,NN,themi,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,abgebildet,VVFIN,abbilden,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,",","$,",--,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,und,KON,und,8437,,
qd,pmp3.0,5868,6262,AMBROSIO,ambrosio,die,ART,der,8437,,
