corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Darf,VMFIN,dürfen,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,mit,APPR,mit,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,nächtig,ADJD,nächtig,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,düstren,ADJA,düster,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Träumen,NN,traum,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Schwermut,NE,schwermut,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,deine,PPOSAT,dein,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Stirn,NN,stirn,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,umziehn,ADJD,umziehn,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,?,$.,--,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Soll,VMFIN,sollen,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,aus,APPR,aus,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,diesen,PDAT,dieser,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,heitren,ADJA,heitr,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Räumen,NN,raum,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Lust,NN,lust,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,und,KON,und,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Fröhlichkeit,NN,fröhlichkeit,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,entfliehn,VVFIN,entfliehn,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,?,$.,--,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Sieh,ADV,sieh,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,der,ART,der,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Gaben,NN,gabe,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,reiche,ADJA,reich,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Fülle,NN,fülle,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,",","$,",--,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Die,PDS,der,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,des,ART,der,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Freundes,NN,freund,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Sorgfalt,NN,sorgfalt,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,beut,VVFIN,beut,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,:,$.,--,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Prachtgestein,NN,prachtgestein,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,und,KON,und,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,samtne,ADJA,samtn,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Hülle,NN,hülle,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,–,XY,–,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Was,PWS,was,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,nur,ADV,nur,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Herz,NN,herz,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,und,KON,und,11637,,
qd,tbf2.0,740,1011,DIENERINNEN,dienerinnen,Auge,NN,auge,11637,,
