corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,st5r.0,249,1082,MONTAN,montan,Lisette,NE,lisette,15951,,
qd,st5r.0,249,1082,MONTAN,montan,"!",$.,--,15951,,
qd,st5r.0,249,1082,MONTAN,montan,so,ADV,so,15951,,
qd,st5r.0,249,1082,MONTAN,montan,nenn,VVFIN,nenn,15951,,
qd,st5r.0,249,1082,MONTAN,montan,ich,PPER,ich,15951,montan,(0)
qd,st5r.0,249,1082,MONTAN,montan,dich,PRF,dich,15951,,
qd,st5r.0,249,1082,MONTAN,montan,jetzt,ADV,jetzt,15951,,
qd,st5r.0,249,1082,MONTAN,montan,das,ART,der,15951,,
qd,st5r.0,249,1082,MONTAN,montan,letztemal,ADJD,letztemal,15951,,
qd,st5r.0,249,1082,MONTAN,montan,",","$,",--,15951,,
qd,st5r.0,249,1082,MONTAN,montan,Gefällt,VVFIN,gefallen,15951,,
qd,st5r.0,249,1082,MONTAN,montan,dir,PPER,dir,15951,,
qd,st5r.0,249,1082,MONTAN,montan,dieser,PDAT,dieser,15951,,
qd,st5r.0,249,1082,MONTAN,montan,Ort,NN,ort,15951,,
qd,st5r.0,249,1082,MONTAN,montan,",","$,",--,15951,,
qd,st5r.0,249,1082,MONTAN,montan,so,ADV,so,15951,,
qd,st5r.0,249,1082,MONTAN,montan,dank,APPR,dank,15951,,
qd,st5r.0,249,1082,MONTAN,montan,es,PPER,es,15951,,
qd,st5r.0,249,1082,MONTAN,montan,meiner,PPOSAT,mein,15951,montan,(0)
qd,st5r.0,249,1082,MONTAN,montan,Wahl,NN,wahl,15951,,
qd,st5r.0,249,1082,MONTAN,montan,.,$.,--,15951,,
qd,st5r.0,249,1082,MONTAN,montan,Ich,PPER,ich,15951,montan,(0)
qd,st5r.0,249,1082,MONTAN,montan,hoff,VVFIN,hoff,15951,,
qd,st5r.0,249,1082,MONTAN,montan,es,PPER,es,15951,,
qd,st5r.0,249,1082,MONTAN,montan,",","$,",--,15951,,
qd,st5r.0,249,1082,MONTAN,montan,denn,KON,denn,15951,,
qd,st5r.0,249,1082,MONTAN,montan,du,PPER,du,15951,,
qd,st5r.0,249,1082,MONTAN,montan,zeigst,VVFIN,zeigsen,15951,,
qd,st5r.0,249,1082,MONTAN,montan,ein,ART,ein,15951,,
