corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,tvfs.0,1304,1426,JOHANN,johann,Nun,ADV,nun,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,sind,VAFIN,sein,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,',$[,--,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,s,PPER,--,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,bald,ADV,bald,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,fünftausend,ADJD,fünftausend,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,Jahre,NN,jahr,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,",","$,",--,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,dass,KOUS,dass,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,wir,PPER,wir,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,hier,ADV,hier,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,stehen,VVFIN,stehen,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,und,KON,und,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,aufpassen,VVPP,aufpassen,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,.,$.,--,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,Fünf,CARD,fünf,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,tausend,CARD,tausend,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,Jährchen,NN,jährchen,1558,,
qd,tvfs.0,1304,1426,JOHANN,johann,"!",$.,--,1558,,
qd,tvfs.0,1431,1463,JAKOB,jakob,Es,PPER,es,1558,,
qd,tvfs.0,1431,1463,JAKOB,jakob,sind,VAFIN,sein,1558,,
qd,tvfs.0,1431,1463,JAKOB,jakob,wohl,ADV,wohl,1558,,
qd,tvfs.0,1431,1463,JAKOB,jakob,schon,ADV,schon,1558,,
qd,tvfs.0,1431,1463,JAKOB,jakob,mehr,ADV,mehr,1558,,
qd,tvfs.0,1431,1463,JAKOB,jakob,"!",$.,--,1558,,
qd,tvfs.0,1468,1488,JOHANN,johann,Schon,ADV,schon,1558,,
qd,tvfs.0,1468,1488,JOHANN,johann,mehr,ADV,mehr,1558,,
qd,tvfs.0,1468,1488,JOHANN,johann,?,$.,--,1558,,
qd,tvfs.0,1493,1512,JAKOB,jakob,Schon,ADV,schon,1558,,
qd,tvfs.0,1493,1512,JAKOB,jakob,mehr,ADV,mehr,1558,,
qd,tvfs.0,1493,1512,JAKOB,jakob,"!",$.,--,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,Aber,KON,aber,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,die,ART,der,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,Dauerwurst,NN,dauerwurst,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,wird,VAFIN,werden,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,doch,ADV,doch,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,noch,ADV,noch,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,gut,ADJD,gut,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,sein,PPOSAT,sein,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,–,NN,–,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,nicht,PTKNEG,nicht,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,wahr,ADJD,wahr,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,",","$,",--,1558,,
qd,tvfs.0,1517,1590,JOHANN,johann,Jakob,NE,jakob,1558,jakob,(1)
qd,tvfs.0,1517,1590,JOHANN,johann,?,$.,--,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,Die,ART,der,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,Dauerwurst,NN,dauerwurst,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,ist,VAFIN,sein,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,noch,ADV,noch,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,gut,ADJD,gut,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,",","$,",--,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,die,PRELS,der,1558,,
qd,tvfs.0,1595,1730,JAKOB,jakob,hält,VVFIN,halten,1558,,
