corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Nein,PTKANT,nein,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,",","$,",--,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,die,ART,der,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Freude,NN,freude,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,",","$,",--,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,zur,APPRART,zu,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Fastnacht,NN,fastnacht,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,"!",$.,--,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Hätt,NE,hätt,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,',$[,--,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,ich,PPER,ich,24115,dörthe,(0)
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,mir,PPER,sich,24115,dörthe,(0)
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,doch,ADV,doch,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,eher,ADV,eher,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,des,ART,der,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Himmels,NN,himmel,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Einsturz,NN,einsturz,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,vermuthet,VVPP,vermuthen,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,",","$,",--,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,als,KOUS,als,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,Sie,PPER,sie,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,heute,ADV,heute,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,zu,PTKZU,zu,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,sehen,VVINF,sehen,24115,,
qd,qfxf.0,4082,4203,DÖRTHE,dörthe,.,$.,--,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,Ja,PTKANT,ja,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,",","$,",--,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,da,ADV,da,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,bin,VAFIN,sein,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,ich,PPER,ich,24115,ehrenthal,(1)
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,"!",$.,--,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,–,XY,–,24115,,
qd,qfxf.0,4208,4272,EHRENTHAL,ehrenthal,Seit,KOUS,seit,24115,,
